"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Account Management API","1","0","Deposit increases account balance","0"
"0","","0","Card Management API","1","0","Validate a correct PIN returns true","0"
"0","","0","Account Management API","1","0","Withdrawal with insufficient funds returns 422","0"
"0","","0","Account Management API","1","0","Transfer funds between two accounts","0"
"0","","0","End-to-End ATM Transaction Flows","1","0","Card block prevents ATM operations - card re-enable flow","0"
"0","","0","Account Management API","1","0","Successfully create a new account","0"
"0","","0","Card Management API","1","0","Issue a credit card for an active account","0"
"0","","0","Account Management API","1","0","Withdrawal from frozen account returns 422","0"
"0","","0","Card Management API","1","0","Validate an incorrect PIN format returns false","0"
"0","","0","Card Management API","1","0","Issue a debit card for an active account","0"
"0","","0","Account Management API","1","0","Successful ATM withdrawal reduces balance correctly","0"
"0","","0","End-to-End ATM Transaction Flows","1","0","Transfer then verify transaction history","0"
"0","","0","Account Management API","1","0","Freeze a newly created account","0"
"0","","0","Account Management API","1","0","Create account with high balance","0"
"0","","0","Account Management API","1","0","Retrieve non-existent account returns 404","0"
"0","","0","End-to-End ATM Transaction Flows","1","0","Complete ATM cash withdrawal flow","0"
"0","","0","Card Management API","1","0","Issue card for non-existent account returns 404","0"
